Start Date,Start Time,End Date,End Time,Subject,Location,All day event,Reminder on/off,Show time as,Categories
11/19/21,10:30 AM,11/19/21,11:15 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
11/19/21,03:00 PM,11/19/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
11/22/21,08:30 AM,11/22/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
11/22/21,10:30 AM,11/22/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
11/22/21,03:00 PM,11/22/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
11/23/21,08:30 AM,11/23/21,09:15 AM,"Faculty Meeting","",0,0,2,"SIS Scheduled;FACULTYMTG"
11/23/21,03:00 PM,11/23/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
11/30/21,08:30 AM,11/30/21,09:15 AM,"Faculty Meeting","",0,0,2,"SIS Scheduled;FACULTYMTG"
11/30/21,03:00 PM,11/30/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/01/21,08:30 AM,12/01/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
12/01/21,10:30 AM,12/01/21,11:30 AM,"Assembly","",0,0,2,"SIS Scheduled;ASSEMBLY"
12/01/21,03:00 PM,12/01/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/02/21,08:30 AM,12/02/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
12/02/21,10:30 AM,12/02/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
12/02/21,03:00 PM,12/02/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/03/21,08:30 AM,12/03/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
12/03/21,10:30 AM,12/03/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
12/03/21,03:00 PM,12/03/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/06/21,08:30 AM,12/06/21,08:45 AM,"AM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV401.4F"
12/06/21,10:30 AM,12/06/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
12/06/21,03:00 PM,12/06/21,03:10 PM,"PM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV402.4F"
12/07/21,08:30 AM,12/07/21,09:15 AM,"Faculty Meeting","",0,0,2,"SIS Scheduled;FACULTYMTG"
12/07/21,03:00 PM,12/07/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/08/21,08:30 AM,12/08/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
12/08/21,10:15 AM,12/08/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
12/08/21,03:00 PM,12/08/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/09/21,08:30 AM,12/09/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
12/09/21,10:30 AM,12/09/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
12/09/21,03:00 PM,12/09/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/10/21,08:30 AM,12/10/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
12/10/21,10:30 AM,12/10/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
12/10/21,03:00 PM,12/10/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/13/21,08:30 AM,12/13/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
12/13/21,10:30 AM,12/13/21,11:30 AM,"Assembly","",0,0,2,"SIS Scheduled;ASSEMBLY"
12/13/21,03:00 PM,12/13/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/14/21,08:30 AM,12/14/21,09:15 AM,"Faculty Meeting","",0,0,2,"SIS Scheduled;FACULTYMTG"
12/14/21,03:00 PM,12/14/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/15/21,08:30 AM,12/15/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
